sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.029610019822600517,0.015803757961402164,0,0,0,1,0,0,7.158966342692145,200,2
1,0.03280419432193772,0.0244025939848996,0,0,0,1,0,0,7.719861833596709,200,2
2,0.0702538456790526,0.057420987493751005,0,0,0,1,0,0,7.038367714936497,200,3
3,0.8496124524188469,0.5077271886812075,0,0,0,1,0,0,8.933186879670407,200,3
4,0.03289612726276631,0.01976830570636785,0,0,0,1,0,0,7.158941483439682,200,2
5,0.04003858467575443,0.025241372016781404,0,0,0,1,0,0,7.167031278975822,200,2
6,0.029610019822600517,0.015803757961402164,0,0,0,1,0,0,7.158966342692145,200,2
7,0.028433093670468985,0.013722116343209483,0,0,0,1,0,0,7.1028699080161,200,2
8,0.10666045960914584,0.08764677103009345,0,0,0,1,0,0,7.451796828504128,200,3
9,0.4083349751442509,0.18525052182431662,0,0,0,1,0,0,6.725681198533201,200,3
10,0.04602204783864288,0.027535746153216367,0,0,0,1,0,0,7.166156035759613,200,2
11,0.03894699440769523,0.033577059339103536,0,0,0,1,0,0,8.046633352080883,200,2
12,0.43197316659113416,0.2218530582108985,0,0,0,1,0,0,7.697664846940757,200,3
13,0.08588058754898037,0.05639601293956918,0,0,0,1,0,0,7.311441819641074,200,3
14,0.9684844039099129,0.5061898826061992,0,0,0,1,0,0,7.915133399336731,200,3
15,0.537562249637118,0.2555506977546652,0,0,0,0,0,0,9.714722401739582,130,3
16,0.029610019822600517,0.015803757961402164,0,0,0,1,0,0,7.158966342692145,200,2
17,0.028697003434332014,0.015252648012851902,0,0,0,1,0,0,7.158450643278366,200,2
18,0.029610019822600517,0.015803757961402164,0,0,0,1,0,0,7.158966342692145,200,2
19,0.030229778627834065,0.013516214313357783,0,0,0,1,0,0,7.12809106223973,200,2
20,0.029610019822600517,0.015803757961402164,0,0,0,1,0,0,7.158965028236746,200,2
