sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
58,0.6834952480421203,0.4001834089730331,10,1,9,1,0,0,9.196482312968334,200,3
59,2.0316299049101527,0.9198411679527355,2,2,0,1,0,1,10.095898536899428,200,3
60,0.6831103611319858,0.39975416224803556,10,1,9,1,0,0,8.589700242892517,200,3
61,0.7609267868024999,0.4847401741000146,10,1,9,2,0,0,8.045957942941172,200,4
62,0.24028363124977486,0.1588527963180283,0,0,0,1,0,1,9.182895223621069,200,4
63,3.3939307300111623,0.5831302575689574,2,2,0,2,0,5,11.356718597781768,200,3
64,0.18805921447090004,0.13004244101538506,0,0,0,1,0,0,9.27316393748549,200,3
65,0.6624516554912178,0.37885355939488663,10,1,9,0,0,0,8.502332043646494,93,2
66,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
67,0.3967255557421202,0.16401451331024247,0,0,0,1,0,0,9.43182606867183,200,3
68,0.6818776639627817,0.3983469384395183,10,1,9,1,0,0,9.1976294181244,200,3
69,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
70,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
71,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.160608095748914,200,3
72,0.6859440701520727,0.40341144489129493,10,1,9,1,0,0,9.193546048386663,200,3
73,0.12077588105658732,0.09592332451975333,0,0,0,1,0,0,9.445317977500366,200,3
74,0.6821301314227185,0.39889028479379063,10,1,9,1,0,0,9.196727517143216,200,3
75,1.3842075347048155,0.6888985528651921,7,7,0,1,0,0,9.494054115857587,200,3
76,0.7130031086539675,0.4259688696534182,10,1,9,0,0,0,9.15379913308334,175,3
77,0.06141789818193355,0.03562881327609379,0,0,0,1,0,2,9.622634680631093,200,2
78,0.7427151299993482,0.449767131737752,10,1,9,0,0,0,11.481465476706079,145,3
79,0.6830531697645472,0.40019421659623156,10,1,9,1,0,0,8.001214659647037,200,3
