sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
0,0.07679729216055256,0.06924172858835445,0,0,0,0,0,1,8.830698290471439,135,2
1,0.1873680099231474,0.11425834373387415,0,0,0,0,0,1,8.621980129686623,105,2
2,0.12423243221434521,0.08475789439879955,0,0,0,1,0,5,8.562127101480943,92,2
3,0.1049363624960778,0.08487662194571773,0,0,0,0,0,0,8.549337404924607,120,2
4,0.1338296526723991,0.09905755094638456,0,0,0,0,0,0,8.833202645489896,108,2
5,0.1367834820883344,0.09246665855585262,0,0,0,0,0,1,8.298051984353926,135,2
6,0.4891088248134637,0.2770123418610296,3,3,0,1,0,5,11.697225367269128,84,2
7,0.599436943337554,0.3315217986553707,0,0,0,1,0,5,11.944228943355851,85,2
8,3.656006009025027,0.9898915679680029,0,0,0,1,0,6,10.966290489209555,112,3
9,2.1466954043720734,0.559104939392985,4,4,0,1,0,5,11.414148089859848,186,3
10,0.027792344113547265,0.020680657594537934,0,0,0,1,0,0,6.671922586623203,200,2
11,2.4478655112925023,0.6305069154778237,3,3,0,1,0,5,11.692856147104692,186,3
12,3.394057273947566,0.7552650847355042,0,0,0,1,0,5,11.887423041298277,191,3
13,2.680039247500387,0.7710187528561991,0,0,0,1,0,5,11.816560584336075,186,3
14,2.5978920765449227,0.674315189616955,0,0,0,1,0,5,11.846692150080582,186,3
15,2.473174793803777,0.4441417481943283,0,0,0,1,0,5,12.902425039695357,186,2
16,0.036385580866389,0.027703948511541513,0,0,0,0,0,0,8.002380333849068,186,2
17,5.762419094325501,1.0856006063815629,8,8,0,1,0,5,10.14295495603742,199,4
18,6.210232979791638,1.264571837979065,4,4,0,1,0,5,10.184033457283828,199,4
19,5.762419094325501,1.0856006063815629,8,8,0,1,0,5,10.14295495603742,199,4
20,2.1466954043720734,0.559104939392985,4,4,0,1,0,5,11.414148089859848,186,3
21,0.6844517650980267,0.3511721197226023,4,4,0,1,0,5,12.174907829172058,88,2
22,0.824941902977795,0.1844498324592724,14,4,10,1,0,1,7.594966637154947,200,2
23,0.3900036135744107,0.15953232816799956,16,2,14,0,0,0,7.90461277498637,197,2
24,0.7079357829892781,0.1739344416237051,10,10,0,1,0,2,7.774831160539104,200,2
25,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
26,0.7197034093676482,0.17416011308739618,10,10,0,1,0,2,7.774584428378475,200,2
27,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
28,0.7943248124016544,0.21124517355060785,6,6,0,0,0,0,7.912334292591707,200,2
29,0.6450680304949581,0.2628614381236419,0,0,0,1,0,0,7.294734954227077,200,2
30,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
31,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
32,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
33,0.3403795925016566,0.16669006765155708,0,0,0,0,0,0,10.434096745205741,192,2
34,0.572813662626331,0.23913851603101396,0,0,0,0,0,0,11.161762658747806,192,2
35,0.7943248124016544,0.21124517355060785,6,6,0,0,0,0,7.912334292591707,200,2
36,0.4591359950538449,0.17990940222612828,0,0,0,0,0,0,7.418214897315645,192,3
37,0.14538446717962375,0.09468912555061679,21,0,21,0,0,0,7.881759365156854,197,2
38,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
39,0.4286346211541486,0.17882100384702154,22,2,20,0,0,0,8.293753084268815,198,3
40,0.2463572143970037,0.14578135596212755,0,0,0,1,0,0,7.637644798786973,200,2
41,0.8574605486451435,0.3062113863437835,20,6,14,0,0,0,7.93947376813401,198,2
42,0.3035099062132389,0.1540779892359097,0,0,0,0,0,0,10.253982567991066,192,2
43,0.1817173903491817,0.11945608405461973,0,0,0,1,0,0,7.958425040790707,200,2
44,0.49818394620538775,0.20159401132009827,22,2,20,0,0,0,7.583753021885623,198,3
45,0.7253603909150362,0.3097737859896047,0,0,0,0,0,0,8.931145705523585,197,2
46,0.2610356836585679,0.13976829222473308,0,0,0,0,0,0,10.02201710107179,192,2
47,0.4951458553985971,0.21584908455165006,0,0,0,0,0,0,11.121087053908438,192,2
48,0.4591359950538449,0.15436565537434024,0,0,0,0,0,0,7.972353046070353,192,2
49,0.7943248124016544,0.21124517355060785,6,6,0,0,0,0,7.912334292591707,200,2
50,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
51,0.41858330341520716,0.21929702051381003,0,0,0,0,0,0,10.166871231398334,192,2
52,0.1817173903491817,0.11945608405461973,0,0,0,1,0,0,7.958425040790707,200,2
53,0.4286346211541486,0.15286930716473437,22,2,20,0,0,0,7.852365770845277,198,2
54,0.7654156740184297,0.3194295550935451,0,0,0,0,0,4,9.361063565664901,197,2
55,0.15528149615669115,0.09432545935646988,0,0,0,0,0,0,9.213602398588055,192,2
56,1.1318530940351805,0.43939272466537016,0,0,0,0,0,1,10.63158680668057,197,2
57,0.20918061352435555,0.0961685000621176,38,2,36,1,0,0,7.818122274189683,200,2
58,0.5921358926214324,0.33340939221858884,38,2,36,2,0,0,7.195678672289173,200,3
59,0.20918061352435555,0.0961685000621176,38,2,36,1,0,0,7.818122274189683,200,2
60,0.26311045764818963,0.14142318387438813,0,0,0,0,0,0,9.85102254483761,192,2
61,0.7915209111801835,0.30474127698433107,10,7,3,0,0,0,8.057169690473156,200,2
62,0.28346408921359545,0.13908175460635835,38,2,36,1,0,0,7.5852739123789314,200,3
63,0.494151505221416,0.1945866603294335,14,5,9,2,0,0,7.59270867576199,200,2
64,0.5326083413684745,0.2104745955637761,14,4,10,2,0,0,7.514292747293713,200,2
65,0.20918061352435555,0.0961685000621176,38,2,36,1,0,0,7.818122274189683,200,2
66,0.7571049365815605,0.22695091011288726,9,8,1,1,0,0,7.867713626079595,200,2
67,0.2374269807486151,0.1272371798823917,38,2,36,2,0,0,7.330688600926653,200,3
68,0.8892677280852307,0.21696401910298788,16,4,12,2,0,0,7.673278007901039,200,2
69,0.7943248124016544,0.19888410168943005,6,6,0,0,0,0,7.911843828732747,200,2
70,0.7339391982942627,0.20608057804832908,8,0,8,0,0,0,7.724263626709514,198,2
71,0.24135060429356855,0.1678709805363036,0,0,0,0,0,0,7.969591106285031,195,2
72,0.37911740455326437,0.11170218366420478,31,6,25,2,0,0,7.651991351319335,200,2
73,0.20918061352435555,0.0961685000621176,38,2,36,1,0,0,7.818122274189683,200,2
74,0.4884510067668208,0.2147823840839169,0,0,0,0,0,0,11.088585842335828,192,2
75,0.19782850193978493,0.11360233133203687,0,0,0,0,0,0,7.9724152864808095,192,2
76,0.20918061352435555,0.0961685000621176,38,2,36,1,0,0,7.818122274189683,200,2
77,0.2674807059944925,0.1358246077359702,38,2,36,2,0,0,7.80720788590419,200,3
78,0.30203464527537566,0.15369632915215847,0,0,0,0,0,0,10.240951861530984,192,2
79,0.39304557086021735,0.1674680831602201,27,4,23,1,0,0,7.6487056390945165,200,3
