va_acc,vb_acc
6.318093335021345e-10,1.1615719836327011e-05
6.018566742183043e-10,9.198732321456164e-06
5.715173808650654e-10,9.04255678479342e-06
5.406103454833957e-10,7.810575092648092e-06
5.011426789846247e-10,6.23023726533538e-06
4.641927752969945e-10,8.125112830690924e-06
4.274740654032026e-10,5.346517323034576e-06
3.875549509308473e-10,2.9858765742026166e-06
3.492983870449892e-10,3.058043163760473e-06
3.124701087712704e-10,2.941508037648071e-06
2.7500726886050655e-10,3.2360765326577654e-06
2.520805680963054e-10,2.999633198306737e-06
2.24592921540774e-10,2.1866940325633105e-06
1.349448431317061e-10,2.069540400930234e-06
7.884150729972771e-11,1.702986335736555e-06
7.036947067919332e-11,1.3671112526686569e-06
1.205378804910677e-10,1.0916503210180227e-06
8.31454020364301e-11,9.190780315768776e-07
7.181391771339197e-11,6.919726570055123e-07
6.201121711320674e-11,5.218226977221062e-07
5.287774618852421e-11,3.7568478753374827e-07
4.4413507206042664e-11,1.5776729778527083e-07
3.74302134684238e-11,6.736586970384907e-08
3.0963114927120493e-11,-3.145986756300921e-08
2.5012210206760746e-11,-9.91256179112854e-08
2.0330750871063293e-11,-1.9444413986475602e-07
1.6023181509017772e-11,-3.2510134002596363e-07
1.2089502722520518e-11,-2.5812035900382294e-07
9.158132715699659e-12,-2.103129736090876e-07
6.48177083152093e-12,-2.079817434194871e-07
4.060417597211458e-12,-1.982387924979124e-07
2.3803047195038002e-12,-2.193245709825731e-07
8.63126133319048e-13,-1.9592787197781572e-07
1.432233779063826e-12,-1.698223586914538e-07
3.1069857250340697e-12,-1.605534667175138e-07
-2.331707196535663e-11,-1.3722666187410222e-07
-2.147908568129992e-11,-1.3190151329996035e-07
-3.023418201379452e-11,-1.4910818301603022e-07
-2.541999253988553e-11,-9.467046794730947e-08
-2.3143107460779746e-11,-7.974616499395124e-08
3.9952718647389136e-07,-6.442176899339127e-08
5.608591283296959e-07,-5.4494363571596724e-08
6.000275386303669e-07,1.0951009053717272e-07
8.948830318245098e-07,1.1749100953386826e-08
7.280201613500754e-07,3.5763371204267484e-08
3.04789712745272e-07,4.495958370944704e-08
1.4004700023930005e-07,7.835281165235521e-08
2.6400855610544633e-07,4.563953504126421e-07
1.4611182742973066e-07,3.954940367572978e-08
9.206553074704007e-08,-4.280623973173928e-08
-1.3342409575511165e-08,-3.511909094719484e-08
-6.084223246306445e-08,-2.8669531578826136e-08
-2.291552434643441e-07,3.5662545880163317e-07
-2.8510028107750827e-07,6.575292642694662e-08
-3.2198213271324434e-07,-1.0183495552605175e-08
-4.758644029416565e-07,-3.5842028818705603e-09
-4.4684368131481023e-07,3.02993057838086e-09
-3.9093208762640836e-07,4.048849922779957e-08
-5.234989682568443e-07,3.655824895192283e-07
-4.561710721587174e-07,1.690168696374939e-08
-3.844631432028271e-07,8.104247298489802e-09
-4.3938077758130243e-07,-2.372347527441069e-09
-3.496358279378809e-07,1.19972845584285e-07
-2.617511926623531e-07,1.7826585933737545e-07
-2.975711745799025e-07,-1.2172293517176212e-07
-2.2417943870864032e-07,-2.09314888248483e-08
-1.5348556311349938e-07,1.6638431130689813e-08
