va_acc,vb_acc
0.14870736745732105,0.14870924596729335
0.209942386092996,0.20994308223572905
0.24094674974307523,0.2409487518681143
0.26728086459271844,0.2672824857924005
0.288942138107487,0.2889432811797754
0.2920239014158659,0.29202588563017284
0.2930749976878616,0.2930764280173951
0.29209361816639084,0.292094665236973
0.2807436240759541,0.2807448631085713
0.2689469713759918,0.26894789769216004
0.25670322139551527,0.25670391756277333
0.23953217581964056,0.23953300251305254
0.22276788149452134,0.22276863649906423
0.2064103168191044,0.20641097289979682
0.188485498096977,0.18848628718876104
0.17134543847933648,0.1713461014880796
0.15498993005662795,0.15499045326796268
0.1389551094125229,0.13895567175157794
0.12379577191726578,0.12379611013581823
0.10951182924750286,0.10951188322622103
0.09631033272210994,0.09631013643884691
0.0839365135597979,0.08393625875676627
0.07239022533810599,0.07238998695494475
0.06152359960391333,0.06152337237413929
0.05153335180923361,0.051533215222284885
0.042419335983406116,0.042419283717169486
0.03409991929869833,0.034099482718150526
0.02668189668720027,0.02668129913956407
0.020165193458307435,0.02016474769694794
0.016230593472822446,0.016230259819976594
0.011558138301516618,0.011558049088807735
0.006147965872942202,0.006147950800226399
0.0020344095646536733,0.002034589749872006
-0.00036137947425109136,-0.0003611891348434482
-0.001039496602022165,-0.001039385785817646
-0.0008396894267889199,-0.000381324955152718
-0.0006559782960265071,1.1193766704011371e-05
-0.0004884207514654866,0.00013838859341277837
-0.0003644844052022866,5.163588200950158e-05
-0.00025157395004306223,-3.5899466964645254e-07
-0.00014958299536827136,-1.757095503497014e-05
-7.941146004214887e-05,-6.580693453579441e-06
-1.6288930999299044e-05,-7.42934306107349e-08
3.990306227820162e-05,2.1115705178807206e-06
7.402724270866412e-05,7.813030694727474e-07
0.00010404474100490229,3.5547221266122315e-08
0.00012978852318374092,-2.3304337303767598e-07
0.0001414932303510849,-9.310886326127128e-08
0.0001511430899073278,-2.06405387254991e-08
0.00015873427827722646,-5.0128697644886726e-08
0.0001576778264997953,-3.5298646290791305e-08
0.00015584383170624277,-8.307961998165371e-09
0.00015319452979828068,2.5763784186852747e-08
0.0001454878999103865,1.4429837420948384e-08
0.00013785365752330597,4.7295367247183284e-09
0.000131029433764764,2.66667231801659e-09
0.00012149891897834421,8.725200726743865e-08
0.00011225599582791606,-1.4557504504751334e-09
0.00010330384254883319,-1.3010242419474514e-09
9.385551862106957e-05,9.691360047581346e-07
8.440875767152938e-05,1.6711554141590436e-06
7.57230553846324e-05,9.106146205063582e-07
6.788519065495407e-05,1.4863711203185992e-07
5.997500183867506e-05,-3.3948944271192867e-07
5.2633640823907043e-05,-3.007071320220372e-07
4.563290201641398e-05,-8.527614421229304e-08
3.942891327260752e-05,4.919853750398914e-08
3.02960037588993e-05,6.441639160478456e-08
1.936569466534266e-05,2.4605204713503e-08
1.7674791584497634e-05,1.9428371096322333e-08
1.4390912082349211e-05,-1.102302219571713e-08
1.0325812092917546e-05,-4.844847096668539e-09
9.11720649117207e-06,2.0509753325462195e-09
8.037079186434297e-06,3.5118467062863276e-09
1.685796216033687e-05,3.323354827059528e-09
1.3824277040041558e-05,2.3462614078294418e-08
3.890576091337708e-06,3.0232215880197194e-08
2.3459449671649927e-06,3.1524489395428906e-08
1.7413895354145064e-06,4.594160428834425e-08
1.225846974638062e-06,4.9524013593220664e-08
1.0106899394926358e-06,7.326498052218665e-08
8.122324212048037e-07,3.117853067774046e-08
6.305060956862609e-07,-1.06147345609463e-07
4.924444274144968e-07,-9.965443506633538e-08
3.6603910125767307e-07,-1.634431910377758e-07
2.5128997270617965e-07,-2.1442383868481786e-07
1.6950798816753946e-07,-3.422560919150361e-07
9.534270531308679e-08,-2.991532753404681e-07
2.8794258746288148e-08,-9.564688535496743e-07
-1.4341868031778853e-08,-1.844540172251348e-06
-5.285423220368135e-08,-1.2715231054890517e-06
-8.674241163481693e-08,-1.0698679817985925e-06
-1.0498384476871527e-07,-1.2161464657009566e-06
-1.206912598112873e-07,-9.092914980682254e-07
-1.3386459469949693e-07,-6.131924072954705e-07
-2.725516751871706e-07,-2.050121034204674e-06
-1.718492971841397e-06,-6.370232291046847e-07
-1.3943002597432674e-07,-1.5709127441572486e-07
4.192701463708117e-07,-4.346402973066073e-08
2.9476737610447505e-07,9.780211404328078e-08
1.8219423232137821e-07,2.046104559226168e-07
1.0446360622964648e-07,-5.991194178910173e-07
1.8414700429438927e-07,-2.2601817102788372e-06
6.462970148139821e-07,4.662508108456207e-07
-4.3663612363566566e-07,1.361816923976943e-06
-1.7335578586328298e-08,9.431358991230103e-07
1.567449061986259e-07,5.830314710964491e-07
6.775346097730136e-07,3.140922794382614e-07
5.638827062747063e-07,6.3695562521106565e-06
4.3579481164552195e-07,2.654974798027288e-07
6.508682187355363e-07,-7.057642108212074e-06
3.281661796543079e-07,-5.0112804200862825e-06
1.9463592953709052e-07,-3.2111439547007593e-06
1.6094056660854643e-07,-2.2939247465569614e-06
6.682502961922051e-08,-1.4607915304886413e-06
-7.473976864314359e-09,-7.139797213173687e-07
-6.088087511637845e-08,-2.11339768314363e-07
-9.749341074822504e-08,2.3023651462155252e-07
-1.1686370962859571e-07,6.144821446407447e-07
-1.4337923893550265e-07,8.32369314702599e-07
-1.4154676686480416e-07,1.0192336095568746e-06
-1.37307348914613e-07,1.1769940162418095e-06
-1.4030166790613636e-07,1.2325333236264505e-06
-1.3069243244314352e-07,1.275002885772229e-06
-1.2776477083012007e-07,1.3047397037594456e-06
-1.193702618056672e-07,1.2757943585882286e-06
-1.1030743304779048e-07,1.2428058630237163e-06
-1.0238022529471047e-07,1.2056831734021098e-06
-9.762040883662144e-08,1.2011534474979286e-06
-8.69477653754754e-08,7.320257635516486e-07
-8.164230756490677e-08,6.930942583748494e-07
-9.592984714766347e-08,5.189932369679801e-07
-6.929073959110235e-08,5.446505377065672e-07
-5.3192295889780935e-08,5.612159024885686e-07
-4.5756863583873274e-08,4.944739832235063e-07
-3.780501831983374e-08,5.413324263035977e-07
-3.067159981661179e-08,4.963977477553965e-07
-2.8086735164928386e-08,4.55849249496971e-07
-3.0871657667000396e-08,4.257654907178346e-07
-1.7869862485283502e-08,3.941764285758066e-07
-1.2650242635988751e-08,3.6346848570203856e-07
-1.227747466636892e-08,3.3442398619366594e-07
