va_acc,vb_acc
0.14871213865733732,0.14870748265974645
0.2099924480606453,0.20994248189257364
0.24101388274164154,0.24094692714903773
0.2673487192982163,0.26728137553382814
0.28897638715629503,0.28894250934217225
0.2920846345894142,0.2920245843069713
0.29312252593089866,0.29307556763730735
0.292100677282685,0.29209408700376244
0.28075249029138916,0.28074423229274476
0.2689493835375778,0.26894748020251674
0.25669966265890853,0.25670363593107504
0.23952106885164626,0.23953251971172282
0.2227556163197112,0.22276797221625225
0.2063964957423107,0.20641022479197524
0.18841914881374597,0.18848525719753884
0.17133035614629852,0.1713451571564259
0.15497507455775847,0.15498964610602695
0.13893268380234858,0.1389547989869876
0.12378353445959392,0.12379553155471525
0.10949951983994885,0.10951155663189126
0.09629882876827246,0.09630996707850738
0.08372896446758105,0.08393622727961357
0.07237820070072769,0.07239004429391303
0.061512517645385005,0.06152350754431224
0.051907342666506,0.051533362715649254
0.04240835440890586,0.04241943592748192
0.03408835850569541,0.0340998010954272
0.02667035174642617,0.026681648392127718
0.02015433413150765,0.02016504616968108
0.0148559116756382,0.016230684660994154
0.01032333411158928,0.011558395472798567
0.006554721849266334,0.006148165925481284
0.00426853983384816,0.002034752232918742
0.0023748644815613593,-0.000361151012603203
0.0008269835291246188,-0.001039462576964822
0.00047495115116938125,-0.00038134019466435075
0.00014580126495520893,1.1281422473247488e-05
-7.556793568846287e-05,0.0001383978265808639
-0.00015428216742395,5.163473660037783e-05
-0.0002115247825727516,-3.5316367933584033e-07
-0.0002620534118326831,-1.7564575077764407e-05
-0.00028425987772631386,-6.578393343670281e-06
-0.0003056332696107562,1.1164598031177462e-08
-0.0003213080157260111,2.2039210023076232e-06
-0.000320861261335434,1.7813568205499923e-06
-0.00031518153939148134,1.392894139421365e-06
-0.0003108155641810036,1.0384359955808178e-06
-0.000297178873348871,7.76174214355061e-07
-0.00028135700471418275,5.370012231252869e-07
-0.00026715000421280444,3.2089502154494205e-07
-0.00024957356266629176,1.724614337412882e-07
-0.0002313723785384609,3.873525137763795e-08
-0.00021200843163606713,-8.047769324806442e-08
-0.00019301721347842808,-2.55383371398008e-07
-0.00017670065310861595,-3.82735282743555e-07
-0.00015765048091942962,-4.622213079461306e-07
-0.00014105360338810929,-5.804164484728397e-07
-0.0001257431354979551,-5.563908511589086e-07
-0.0001103102880568461,-8.171515754201674e-07
-9.63337375368395e-05,-9.502292207940581e-07
-8.155261279095369e-05,-8.447572006149768e-07
-6.858100957420461e-05,-7.219061945285528e-07
-5.435923731344434e-05,-7.377836573614291e-07
-4.479914312991726e-05,-5.928782821635257e-07
-2.9317172535903263e-05,-4.6125920386561924e-07
-2.9482656198621255e-05,-1.220673758792525e-06
-2.3744788484395456e-05,-4.228241854546073e-07
-7.30845573022935e-06,-2.1680335924529298e-07
-9.502064012817414e-06,-1.4609174560876386e-07
-2.882040252462112e-06,-9.178015302363777e-08
2.7099551673295924e-06,-4.9444115291876684e-08
4.999778108816406e-06,-1.1912822751943503e-06
-1.9701364502077614e-06,-3.963608230796335e-06
-4.397167275439826e-06,-9.919335809483938e-07
-1.1663369061080816e-06,-4.016031570040483e-07
-2.915449746960238e-07,-6.071341472990581e-07
-7.360930887289747e-08,-2.52377939270155e-07
