va_acc,vb_acc
0.1487070073337557,0.14870906989534358
0.2099514934567324,0.20994291597085674
0.240957033384313,0.24094873845280348
0.2672942730427614,0.2672823185250973
0.28895547015811224,0.2889430753672835
0.29204377280464106,0.29202552173063256
0.29309071298661976,0.29307615522007113
0.2921042905737963,0.2920944695273973
0.2807548993140002,0.2807446302090077
0.2689529972914798,0.26894776724481445
0.25670575253044187,0.25670380891892836
0.2395289642454795,0.23953290841190364
0.2227607088915872,0.22276861532075873
0.20640012331506138,0.2064109975733629
0.18846851247842591,0.18848635826330093
0.17132976508853817,0.17134619032500997
0.1549750149552498,0.15499057185749165
0.1389361817119008,0.13895590727719068
0.12377918132488762,0.12379647452799039
0.10949612520602349,0.10951232032655688
0.09629782339298554,0.09631063520921956
0.08392832853462419,0.08393655625959343
0.07238547087800533,0.07239011300952694
0.06152012516458241,0.06152343241363244
0.051531997829816385,0.05153315877050142
0.04241907202342521,0.04241918039662664
0.034100630149052034,0.03409931495271525
0.026682551857675776,0.02668116851479503
0.020165458302353906,0.020164670247712
0.01486657717760582,0.01623024415341078
0.01033063115659601,0.011557978461962323
0.006559596881695001,0.006147897658601416
0.005323973902869483,0.0020345720346234145
0.004191533521283275,-0.0003611857117272462
0.0031555189742736136,-0.0010393799854162672
0.0020623962581514965,-0.0003813197515549122
0.0011011693526304116,1.1251121239893387e-05
0.0002759957672601073,0.00013838675299842105
-0.00017592456617433332,5.1637204625270416e-05
-0.0005620237838441855,-3.429721646220594e-07
-0.0008820303183961528,-1.7558592968641094e-05
-0.0013292004731848019,-6.578868405562846e-06
-0.0016368542677875704,8.367206603886498e-09
-0.0018098685158620547,2.2024430389100606e-06
-0.0015654879680436667,8.258318820540412e-07
-0.0013402160140603171,-2.687391590813232e-10
-0.0011253116071708695,-2.7559056663098257e-07
-0.0009476247357878481,-1.0334933795267525e-07
-0.0007890299518392322,1.4741112908313706e-09
-0.0006460132413010065,3.967928640379973e-08
-0.0005319102315345787,5.5414161551614435e-08
-0.00042115475360980284,4.674995879477709e-08
-0.00032344570638150684,-1.797252374470642e-08
-0.0002496558909160298,1.8429414850131422e-08
-0.00018196170417035136,4.794491294668541e-08
-0.0001203876262059441,3.110269061946182e-08
-7.684650356456254e-05,4.921650689761372e-09
-3.743805663398469e-05,-1.0773119243143774e-08
-2.184811824261525e-06,-9.431304435767701e-09
2.0178735195739315e-05,-2.640983377393741e-09
4.0011161307343046e-05,1.6613222578260572e-09
5.733670011984794e-05,2.0911282277132437e-09
9.412697162213332e-05,2.6542963072803113e-09
6.909710175108716e-05,3.4779320775584403e-09
6.730206806828031e-05,1.2107843213587714e-09
6.072801417668487e-05,6.857029349551477e-08
6.35885784442466e-05,2.5472039641651347e-08
6.539806717046536e-05,-4.31762920580323e-08
7.098214464822902e-05,-2.1684927201734537e-08
7.075897563699168e-05,-7.060662478887839e-09
6.95149077086358e-05,3.410536096525039e-09
6.426637976884262e-05,3.582434156188962e-09
6.200114451165834e-05,2.7142381847170687e-09
5.8123369877195426e-05,2.3333842705313894e-09
5.341747098146137e-05,2.3421782808402084e-09
4.9158764798375745e-05,1.7881116663747723e-09
4.452114619243453e-05,1.2432892275625004e-09
3.953434219751181e-05,1.0420709545422282e-09
3.539602590132933e-05,6.129403356451422e-10
3.150704471830436e-05,-5.300703683415046e-10
2.7306590215239945e-05,-4.377724575126675e-10
2.3903891195796774e-05,-5.843378169143115e-10
2.0885238142577632e-05,-7.419591907124588e-10
1.7510437555696716e-05,-9.652281395621038e-10
1.5335039544157968e-05,-9.472008988785783e-10
1.2903259083034357e-05,-9.124978612371721e-10
1.0442870093380355e-05,-1.0895687879189986e-09
8.9235373868455e-06,-4.274190507171222e-09
7.5232780307842904e-06,-8.686208920105778e-10
5.919503437224884e-06,4.6945299867842095e-12
4.9537123111308945e-06,-6.244770933920547e-11
4.068127995927969e-06,-1.3849632650433747e-10
3.1296401263095327e-06,-1.6371208805137232e-10
2.529900666862934e-06,-2.1865155754832978e-10
1.9818868058408953e-06,-1.6934144497565018e-09
1.4725221162340537e-06,-4.622324506485982e-08
1.1107894354657243e-06,-6.692837877801761e-08
7.858996813621009e-07,-7.30465391672507e-08
7.074712185962517e-07,-1.0528477062529873e-07
6.359218620458804e-07,-8.800491631687088e-08
4.845999416155872e-07,-6.806051398662313e-08
4.4105605789181775e-07,-9.576105892650181e-08
-4.574942883409202e-09,-3.290694035467646e-07
-3.092576707632628e-07,-1.5017207013301265e-07
-4.1120504670421564e-07,-1.6895919941701018e-07
-5.807392143324861e-07,-2.0559385739094418e-07
-7.5432503559811e-07,-2.0341628224862732e-07
-5.782324230350718e-07,-2.7807486507596426e-07
-7.10266404859968e-07,-2.233174670958116e-07
-8.880009342639309e-07,2.0612581382307614e-07
-1.454853006388164e-06,8.357142543549327e-07
-1.296643309146e-06,7.092274705443509e-08
-8.343876586320334e-07,4.6872305231473503e-08
-2.7361259360916636e-07,3.9164652509300095e-08
5.931266861844275e-08,3.471062079348607e-08
1.375518303863116e-07,3.1612902356682254e-08
4.646222435271277e-08,2.941417059143118e-08
1.4115729888295117e-09,2.5524841793445068e-08
