yr_b,distance,yr_a,vb_acc,orientation_b,orientation_a
0.0,13.151751312624729,-0.1347305195402088,-5,-2.5788657605070053,0.4817041357757603
0.0,11.401363409180505,-0.13580167311904143,-5,-2.5788657605070053,0.397454843336935
0.0,9.784540055207614,-0.11636767250930458,-5,-2.5788657605070053,0.32275415250988587
0.0,8.320549857343396,-0.15498142098733797,-5,-2.5788657605070053,0.2456666197567429
0.0,7.047648959091669,-0.1451261129689459,-5,-2.5788657605070053,0.16417564368332327
0.0,6.791533008192067,-0.12179849859746994,-5,-2.5788657605070053,0.09420173506539593
0.0,6.6042533580959,-0.126096354623017,-5,-2.5788657605070053,0.04061027517842941
0.0,6.4838631042003145,-0.13997319683884057,-5,-2.5788657605070053,-0.02622479024440416
0.0,6.436640431524926,-0.16480442898173037,-5,-2.5788657605070053,-0.0973900498158784
0.0,6.480885407243235,-0.17386050325184624,-5,-2.5788657605070053,-0.18671643289488138
0.0,6.627210102833173,-0.1499518564440903,-5,-2.5788657605070053,-0.2851625182716706
0.0,6.82262416979715,-0.1499518564440903,-5,-2.5788657605070053,-0.2851625182716706
0.0,7.052184145619726,-0.15376242741544335,-5,-2.5788657605070053,-0.33127933622878913
0.0,7.31798359167938,-0.16263022907100708,-5,-2.5788657605070053,-0.4008842283550633
0.0,7.6141812891184895,-0.18779613880290252,-5,-2.5788657605070053,-0.4434668431346127
0.0,7.956945309608381,-0.1670189110759957,-5,-2.5788657605070053,-0.5343744761560085
0.0,8.32398808112063,-0.17337742465808936,-5,-2.5788657605070053,-0.6131451930424072
0.0,8.727515075222566,-0.1726096059050141,-5,-2.5788657605070053,-0.6724745816168074
0.0,9.175587336446577,-0.16830399665292067,-5,-2.5788657605070053,-0.7610382190603477
0.0,9.662498525041734,-0.16067224552526516,-5,-2.5788657605070053,-0.8505971231627338
0.0,10.165321258848438,-0.12631349577854734,-5,-2.5788657605070053,-0.9154138801172689
0.0,10.646095847866214,-0.1340148792968132,-5,-2.5788657605070053,-0.9799690630325442
0.0,11.145338557903939,-0.12952972673908741,-5,-2.5788657605070053,-1.0470279480668054
0.0,11.660749077034835,-0.10269796046397983,-5,-2.5788657605070053,-1.1075770696547096
0.0,12.188906379529291,-0.07474438378416001,-5,-2.5788657605070053,-1.1547763807657159
0.0,12.726003816945285,-0.05393806632306768,-5,-2.5788657605070053,-1.1892541287475566
0.0,13.273490278959905,-0.03096058940503642,-5,-2.5788657605070053,-1.2123030089814897
0.0,13.829731373265977,-0.013246313147872776,-5,-2.5788657605070053,-1.2244055868900627
0.0,14.393493353953573,-0.0003215941216524285,-5,-2.5788657605070053,-1.2281292228200655
0.0,14.963315569990126,0.012735890994741095,-5,-2.5788657605070053,-1.2246066680407335
0.0,15.538999506397133,0.022456716596042946,-5,-2.5788657605070053,-1.2142360869416855
0.0,16.121172023707437,0.028306559077066574,-5,-2.5788657605070053,-1.1990389280590792
0.0,16.710272749440836,0.0310327887945751,-5,-2.5788657605070053,-1.1817886584743063
0.0,17.30571608239706,0.032740458785322044,-5,-2.5788657605070053,-1.1626513608957945
0.0,17.90770881182065,0.033108852984812705,-5,-2.5788657605070053,-1.1427836125868573
0.0,18.515870701364566,0.03307354455655347,-5,-2.5788657605070053,-1.1224209503823834
0.0,19.130101625095257,0.030391675395166854,-5,-2.5788657605070053,-1.1029072872790042
