va_acc,yr_a
-2.024752437946632,-0.13406025114936337
-3.0097252778031556,-0.13521851029479015
-2.2666696961470847,-0.11974702453676252
-1.9427449323401862,-0.15835937036930983
-1.133972647493466,-0.1490954872417608
0.07832626926985631,-0.12749202593726253
1.9421682078137974,-0.13915039300368098
2.8354339304351597,-0.15184580100181677
6.6953772972147485,-0.17036486608180537
7.016146876476479,-0.17576019018749245
5.896871856451323,-0.13122121372513457
-5,-0.13122121372513457
-0.12361545835290588,-0.14370752960903674
0.3069024523027508,-0.16045057254294848
1.9340014990504235,-0.13591390292430483
2.0548365236906174,-0.15262388133661134
2.108252762199975,-0.16154838892826445
3.3431584557102867,-0.16635030759606037
-0.6507782961671003,-0.16402760830157742
1.341599138230135,-0.10634861945192492
2.390989114269991,-0.12538682167320192
2.1604625344672033,-0.12464003318834176
1.6092025661796212,-0.11547616643141939
1.6887585784708345,-0.08575399980948088
1.499023503720146,-0.06414546944514751
1.2655343655752007,-0.0459354155442247
1.1421307274894918,-0.02595043252942734
1.0427656856845693,-0.009559162647816893
0.9473596473342848,0.003071411963507363
0.8617807317619375,0.012666304604081562
0.6616213317033135,0.01940558113095552
0.6086203623120353,0.024317788880646292
0.4335967741839427,0.026775240677817887
0.5664108815460187,0.029840756018565222
0.5531713999294984,0.029742038144558405
0.5352770710684251,0.02790508699743804
0.5166585301600161,0.0257632438374616
0.496166272538876,0.023391856874316188
0.4690858817103867,0.02028565399580943
0.4386423158533042,0.01739488837910677
0.40580058961255283,0.014714953164687027
0.3705132583603296,0.011952209792542141
0.3343594308489493,0.009544232388563263
0.2983191332297653,0.00745661912126759
0.26361382136766526,0.005851965616541541
0.23028855307417312,0.004390285798739936
0.19864955469524911,0.0030737398723877382
0.1686128412628677,0.0016970240333255757
0.14084558481814227,0.0006360763937210041
0.11551601540500726,-0.00014832442040840974
0.09239941710024205,-0.0005769633989026313
0.07187093168400335,-0.0009147575583457976
0.053943242247458355,-0.0011514540977626338
0.039567050927994375,-0.0013130552542126163
0.027346250112157727,-0.001283789152584934
0.01721823603559674,-0.001097699682446991
0.007223670589483132,-0.0008913529227656826
0.0010311861474882724,-0.0004804363966012438
-0.0013829150610298786,-0.000114379004405735
-0.0011187875443137295,-7.254342189472883e-05
-0.0008762775662434821,-3.242170439720119e-05
-0.0006551811350128614,-3.884546826919855e-06
-0.0004912605907305544,1.1939752790809649e-05
-0.00034170052223421275,2.3182957884590816e-05
-0.00020648903776412038,3.0346922455292033e-05
-0.00011337815499357449,3.0145540178205812e-05
-2.9402044127710957e-05,2.8793078308048367e-05
4.5434484322107646e-05,2.6465300913575922e-05
9.108545572181575e-05,2.1420779884507537e-05
0.00013138902726322001,1.6730169221970015e-05
0.00016634872884802013,1.2402635697992384e-05
0.00018233776532841685,7.770315306244701e-06
0.00019557477011501582,3.8675540548024346e-06
0.00020606198287643067,6.436390393294386e-07
0.00022387636311378903,-1.5397013458464629e-06
0.00023668597922955396,-3.394929622946632e-06
0.00024449110183514833,-4.921864660179521e-06
