vb_acc,yr_b
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
-5,0.0
