yr_b,distance,yr_a,va_acc,orientation_b,orientation_a
0.0,13.106161689083521,-0.13406025114936337,-2.024752437946632,-2.5788657605070053,0.4758500879452603
0.0,11.336673691033276,-0.13521851029479015,-3.0097252778031556,-2.5788657605070053,0.3886436894699833
0.0,9.70562842027861,-0.11974702453676252,-2.2666696961470847,-2.5788657605070053,0.3109240507609874
0.0,8.234985705653514,-0.15835937036930983,-1.9427449323401862,-2.5788657605070053,0.22340824529462494
0.0,6.970784351735349,-0.1490954872417608,-1.133972647493466,-2.5788657605070053,0.13557085602662722
0.0,6.727291744231482,-0.12749202593726253,0.07832626926985631,-2.5788657605070053,0.05896397544068599
0.0,6.563045891534692,-0.13915039300368098,1.9421682078137974,-2.5788657605070053,-0.008814444521714648
0.0,6.4827287609639574,-0.15184580100181677,2.8354339304351597,-2.5788657605070053,-0.08796979242242298
0.0,6.493964260284569,-0.17036486608180537,6.6953772972147485,-2.5788657605070053,-0.17075234437784026
0.0,6.6136554186618,-0.17576019018749245,7.016146876476479,-2.5788657605070053,-0.2692188069876096
0.0,6.843885550467801,-0.13122121372513457,5.896871856451323,-2.5788657605070053,-0.3553511093606678
0.0,7.1135135688436355,-0.13122121372513457,-5,-2.5788657605070053,-0.3553511093606678
0.0,7.413904351886676,-0.14370752960903674,-0.12361545835290588,-2.5788657605070053,-0.3991338615227491
0.0,7.746051550729654,-0.16045057254294848,0.3069024523027508,-2.5788657605070053,-0.47150884016687034
0.0,8.102858747299834,-0.13591390292430483,1.9340014990504235,-2.5788657605070053,-0.5083679237145624
0.0,8.479399419176458,-0.15262388133661134,2.0548365236906174,-2.5788657605070053,-0.5773318368295222
0.0,8.888643111561551,-0.16154838892826445,2.108252762199975,-2.5788657605070053,-0.6549717005727276
0.0,9.331549335454921,-0.16635030759606037,3.3431584557102867,-2.5788657605070053,-0.7119606825259792
0.0,9.813827771245295,-0.16402760830157742,-0.6507782961671003,-2.5788657605070053,-0.8024870632430545
0.0,10.295360041581715,-0.10634861945192492,1.341599138230135,-2.5788657605070053,-0.8671645929690177
0.0,10.776959424549853,-0.12538682167320192,2.390989114269991,-2.5788657605070053,-0.9261096303488277
0.0,11.288067703499701,-0.12464003318834176,2.1604625344672033,-2.5788657605070053,-0.9916289762214232
0.0,11.824535182005592,-0.11547616643141939,1.6092025661796212,-2.5788657605070053,-1.057081105449849
0.0,12.378394562447493,-0.08575399980948088,1.6887585784708345,-2.5788657605070053,-1.1125915423995147
0.0,12.946794070456129,-0.06414546944514751,1.499023503720146,-2.5788657605070053,-1.155023822896048
0.0,13.528982700749491,-0.0459354155442247,1.2655343655752007,-2.5788657605070053,-1.1869923587243933
0.0,14.123007846544802,-0.02595043252942734,1.1421307274894918,-2.5788657605070053,-1.2079796742202227
0.0,14.72890026864871,-0.009559162647816893,1.0427656856845693,-2.5788657605070053,-1.218559038997964
0.0,15.345525627700903,0.003071411963507363,0.9473596473342848,-2.5788657605070053,-1.2203554017394946
0.0,15.972209681579018,0.012666304604081562,0.8617807317619375,-2.5788657605070053,-1.215223418327895
0.0,16.60838412517938,0.01940558113095552,0.6616213317033135,-2.5788657605070053,-1.2049249780784752
0.0,17.253013346647506,0.024317788880646292,0.6086203623120353,-2.5788657605070053,-1.1906025799239783
0.0,17.904983204299988,0.026775240677817887,0.4335967741839427,-2.5788657605070053,-1.1740517222618987
0.0,18.56294550630788,0.029840756018565222,0.5664108815460187,-2.5788657605070053,-1.155004043350723
0.0,19.22675398095787,0.029742038144558405,0.5531713999294984,-2.5788657605070053,-1.1351683923171416
0.0,19.896202123695424,0.02790508699743804,0.5352770710684251,-2.5788657605070053,-1.1158538415314627
0.0,20.570875660140285,0.0257632438374616,0.5166585301600161,-2.5788657605070053,-1.0977318096048707
0.0,21.250402629220808,0.023391856874316188,0.496166272538876,-2.5788657605070053,-1.0810097050738214
0.0,21.934451976144093,0.02028565399580943,0.4690858817103867,-2.5788657605070053,-1.066065361870682
0.0,22.622709795032947,0.01739488837910677,0.4386423158533042,-2.5788657605070053,-1.053086131569076
0.0,23.31487648994282,0.014714953164687027,0.40580058961255283,-2.5788657605070053,-1.0419569802503679
0.0,24.01066523456669,0.011952209792542141,0.3705132583603296,-2.5788657605070053,-1.0326719722789122
0.0,24.709798638699677,0.009544232388563263,0.3343594308489493,-2.5788657605070053,-1.0251496936736384
