yr_b,distance,yr_a,vb_acc,orientation_b,orientation_a
0.0,33.804369016877565,-3.300658375695686e-06,-5,-2.5788657605070053,2.130305144017087
0.0,33.167157729374004,-1.5099345315606834e-06,-5,-2.5788657605070053,2.13030389375854
0.0,32.5613658064514,-5.595668282996604e-08,-5,-2.5788657605070053,2.130303495128489
0.0,31.98381065187716,-6.991646016171275e-07,-5,-2.5788657605070053,2.1303037631168023
0.0,31.43134409025749,1.00083751446508e-07,-5,-2.5788657605070053,2.1303036075910984
0.0,30.894495591390815,4.3057617934411274e-07,-5,-2.5788657605070053,2.130303755270209
0.0,30.35472863417249,6.533599005751618e-07,-5,-2.5788657605070053,2.130304052370388
0.0,29.81203272168684,7.832202961479246e-07,-5,-2.5788657605070053,2.130304446093108
0.0,29.26643223321976,6.752007216763252e-07,-5,-2.5788657605070053,2.1303048436762606
0.0,28.718024800509866,5.728527676452985e-07,-5,-2.5788657605070053,2.1303051856095387
0.0,28.166928400789594,4.7647625376302015e-07,-5,-2.5788657605070053,2.1303054744498895
0.0,27.613273304691923,3.3687231824680376e-07,-5,-2.5788657605070053,2.130305698285786
0.0,27.057222697112852,2.2373523298694604e-07,-5,-2.5788657605070053,2.130305852973257
0.0,26.498944230442834,1.3406020277016472e-07,-5,-2.5788657605070053,2.13030595180769
0.0,25.938604938020234,6.827025044032711e-08,-5,-2.5788657605070053,2.1303060077153093
0.0,25.37638031583367,1.7962332560167828e-08,-5,-2.5788657605070053,2.130306031268673
0.0,24.812441777360384,-1.8739677992587715e-08,-5,-2.5788657605070053,2.130306030447289
0.0,24.246953702267113,-3.0522130120732604e-08,-5,-2.5788657605070053,2.1303060163057848
0.0,23.680075565700506,-3.8102193398736794e-08,-5,-2.5788657605070053,2.1303059966687563
0.0,23.11195897786411,-4.203097409252897e-08,-5,-2.5788657605070053,2.1303059737454504
0.0,22.542746432858,4.6121033643484044e-07,-5,-2.5788657605070053,2.13030610511137
0.0,21.972570371908784,7.319602646099732e-07,-5,-2.5788657605070053,2.130306455356088
0.0,21.401554557353375,8.111548100776794e-07,-5,-2.5788657605070053,2.1303069040980023
0.0,20.829814744319183,9.585675592450555e-08,-5,-2.5788657605070053,2.1303071509936014
